crime_type,date,time,latitude,longitude,location
Burglary,09-07-2024,22:45:00,19.01250558,72.96007448,Navi Mumbai
Drug Offense,30-03-2024,22:45:01,19.22619944,72.83997288,Borivali
Domestic Violence,04-04-2024,22:45:02,19.16296867,72.94902319,Mulund
Domestic Violence,13-09-2024,22:45:03,19.09831205,72.91433648,Ghatkopar
Fraud,06-01-2024,22:45:04,19.15839123,72.94894603,Mulund
Assault,28-07-2024,22:45:10,19.07131575,72.82786207,Bandra
Drug Offense,19-07-2024,22:45:12,19.17105293,72.93014658,Mulund
Drug Offense,12-02-2025,22:45:13,19.1168293,72.95530412,Navi Mumbai
Fraud,05-10-2023,22:45:13,19.20310613,72.83793697,Borivali
Burglary,16-03-2025,22:45:14,19.01808395,72.83098946,Dadar
Theft,24-12-2023,22:45:15,19.06942675,72.8283171,Bandra
Domestic Violence,19-09-2023,22:45:16,19.07099978,72.82175041,Bandra
Fraud,15-03-2025,22:45:17,19.21466768,72.86206811,Borivali
Domestic Violence,01-09-2024,22:45:18,19.01262774,72.99987525,Navi Mumbai
Theft,02-03-2025,22:45:19,19.02689484,72.83582038,Dadar
Burglary,13-06-2024,22:45:20,19.12853123,72.84649728,Andheri
Theft,26-11-2024,22:45:21,19.075455,72.82320987,Bandra
Assault,09-12-2023,22:45:22,19.19725333,72.99120462,Thane
Fraud,08-10-2024,22:45:26,19.23609382,72.85852915,Borivali
Domestic Violence,18-12-2023,22:45:27,19.10430257,72.83887103,Andheri
Assault,17-08-2024,22:45:28,19.10142629,72.84045906,Andheri
Domestic Violence,10-12-2023,22:45:29,19.11035848,72.86649365,Andheri
Fraud,10-02-2024,22:45:30,19.23814236,72.83000734,Borivali
Assault,13-11-2023,22:45:30,19.10266094,72.91310301,Ghatkopar
Theft,06-09-2023,22:45:32,19.07559461,72.95994412,Navi Mumbai
Theft,21-11-2024,22:45:33,19.20399986,72.83776925,Borivali
Burglary,01-09-2023,22:45:33,19.20774896,72.85933389,Borivali
Domestic Violence,06-12-2023,22:45:34,19.17999383,72.94820827,Mulund
Theft,08-08-2024,22:45:35,19.15404246,72.96896459,Mulund
Fraud,13-12-2023,22:45:36,18.92566758,72.8197778,Colaba
Murder,24-04-2024,22:45:38,19.16982131,72.94712538,Mulund
Burglary,15-05-2023,22:45:38,19.01361415,72.95231551,Navi Mumbai
Theft,16-06-2024,22:45:39,19.04884503,72.96604226,Navi Mumbai
Drug Offense,13-11-2024,22:45:41,19.20249505,72.97510995,Thane
Domestic Violence,30-11-2023,22:45:41,19.18415606,72.9831551,Thane
Fraud,16-06-2023,22:45:42,19.19476186,72.99696656,Thane
Burglary,15-04-2024,22:45:43,19.12273662,72.95629479,Navi Mumbai
Drug Offense,18-04-2024,22:45:44,19.09860593,72.92119344,Ghatkopar
Theft,23-04-2024,22:45:45,19.00201225,72.82056051,Dadar
Fraud,30-12-2024,22:45:46,19.00392188,72.82181808,Dadar
Theft,18-10-2023,22:45:47,19.05127417,72.84404875,Bandra
Theft,25-04-2024,22:45:47,19.10700926,72.85909964,Andheri
Theft,11-04-2023,22:45:48,19.21245504,72.980542,Thane
Theft,23-08-2023,22:45:49,19.102624,72.90148054,Ghatkopar
Assault,26-04-2023,22:45:51,19.16401353,72.94215352,Mulund
Assault,30-11-2023,22:45:52,19.15274122,72.95869952,Mulund
Drug Offense,08-03-2025,22:45:53,19.20502352,72.97538157,Thane
Fraud,27-05-2024,22:45:54,19.09098355,72.96755401,Navi Mumbai
Fraud,15-12-2023,22:45:55,19.15064037,72.95466414,Mulund
Assault,11-09-2024,22:45:56,19.1045607,72.83715014,Andheri
Assault,10-05-2023,22:45:57,18.90428154,72.82217569,Colaba
Assault,26-11-2024,22:45:58,19.11077033,72.99304615,Navi Mumbai
Burglary,12-04-2023,22:45:59,19.11808606,72.85003716,Andheri
Drug Offense,18-02-2024,22:46:00,19.07596424,72.83805226,Bandra
Assault,03-10-2024,22:46:01,19.01042808,72.84060665,Dadar
Fraud,05-05-2023,22:46:02,19.16968813,72.9541565,Mulund
Drug Offense,07-07-2023,22:46:03,19.10720378,72.84728713,Andheri
Theft,25-07-2023,22:46:03,19.16811188,72.94474433,Mulund
Burglary,04-01-2024,22:46:04,19.12117466,72.82645776,Andheri
Theft,02-04-2023,22:46:05,19.06991437,72.84275639,Bandra
Burglary,02-04-2024,22:46:06,19.10765462,72.82697685,Andheri
Domestic Violence,30-06-2023,22:46:07,19.09158146,72.92746416,Ghatkopar
Murder,17-09-2023,22:46:07,19.10206639,72.95545204,Navi Mumbai
Fraud,23-06-2024,22:46:08,19.11765874,72.91115926,Ghatkopar
Drug Offense,02-04-2024,22:46:09,18.92004597,72.80325682,Colaba
Theft,11-08-2023,22:46:09,19.16335704,72.94366495,Mulund
Drug Offense,03-01-2025,22:46:10,19.17849445,72.95398161,Thane
Domestic Violence,30-05-2023,22:46:11,19.1549558,72.96070855,Mulund
Murder,25-08-2024,22:46:12,18.9017316,72.81889471,Colaba
Drug Offense,23-08-2023,22:46:13,19.06496183,72.82862558,Bandra
Assault,10-03-2025,22:46:14,19.11434421,72.83464237,Andheri
Domestic Violence,31-03-2024,22:46:15,19.01840368,72.8485421,Dadar
Theft,24-06-2024,22:46:16,19.02256994,72.84187564,Dadar
Assault,27-08-2024,22:46:17,19.13818189,72.85924247,Andheri
Murder,24-08-2024,22:46:18,19.01001322,72.9747298,Navi Mumbai
Burglary,29-08-2024,22:46:19,19.09545442,72.91638256,Ghatkopar
Fraud,10-07-2023,22:46:20,19.05139324,72.82724055,Bandra
Theft,14-08-2024,22:46:22,19.0142581,72.83070795,Dadar
Burglary,29-10-2023,22:46:24,19.19022109,72.98527764,Thane
Theft,16-05-2024,22:46:25,19.05999272,72.83191423,Bandra
Domestic Violence,16-12-2024,22:46:26,19.23047169,72.86505711,Borivali
Domestic Violence,22-08-2024,22:46:27,19.23673107,72.84667842,Borivali
Assault,23-07-2024,22:46:28,19.05273324,72.99723061,Navi Mumbai
Domestic Violence,15-01-2025,22:46:29,19.19474248,72.99047125,Thane
Assault,15-12-2023,22:46:30,19.15846776,72.93741073,Mulund
Murder,01-09-2023,22:46:31,19.21873334,72.85374636,Borivali
Drug Offense,01-11-2023,22:46:32,19.06735269,72.83565453,Bandra
Fraud,21-07-2023,22:46:34,19.20049089,72.97984489,Thane
Fraud,15-09-2024,22:46:35,19.2069774,72.85036012,Borivali
Drug Offense,30-04-2024,22:46:36,19.02011897,72.84432577,Dadar
Assault,28-12-2024,22:46:37,19.13824613,72.82638687,Andheri
Murder,11-04-2023,22:46:38,19.12784638,72.95600607,Navi Mumbai
Assault,21-04-2024,22:46:39,19.1942732,72.97466486,Thane
Domestic Violence,29-09-2023,22:46:40,19.17056278,72.98874992,Thane
Domestic Violence,17-05-2023,22:46:42,18.91663554,72.81060403,Colaba
Fraud,09-04-2024,22:46:42,19.02187244,72.9703508,Navi Mumbai
Domestic Violence,08-07-2024,22:46:43,18.91725411,72.82453936,Colaba
Murder,31-03-2024,22:46:44,19.11164396,72.8278221,Andheri
Burglary,08-02-2025,22:46:45,19.16920593,72.95310502,Mulund
Theft,07-10-2023,22:46:46,19.08115638,72.9126367,Ghatkopar
Theft,05-10-2023,22:46:47,19.21504581,72.83405937,Borivali
Assault,29-11-2023,22:46:48,19.18685249,72.97226602,Thane
Fraud,22-12-2023,22:46:49,19.07197751,72.82331835,Bandra
Murder,01-01-2025,22:46:50,19.12947838,72.95038055,Navi Mumbai
Burglary,26-09-2023,22:46:51,19.08225657,72.93271265,Ghatkopar
Burglary,19-08-2024,22:46:52,19.16761558,72.95401116,Mulund
Murder,01-12-2023,22:46:53,19.12276341,72.8289191,Andheri
Domestic Violence,27-12-2023,22:46:54,19.23283627,72.84350158,Borivali
Drug Offense,25-02-2024,22:46:55,19.21476188,72.95677504,Thane
Drug Offense,27-04-2024,22:46:56,19.0218665,72.84788844,Dadar
Domestic Violence,06-02-2025,22:46:57,19.19631276,72.99339194,Thane
Drug Offense,02-06-2024,22:46:58,19.11417588,72.83581151,Andheri
Murder,07-12-2023,22:46:59,19.01459661,72.84084678,Dadar
Domestic Violence,16-11-2023,22:47:00,19.03469588,72.99320356,Navi Mumbai
Domestic Violence,28-06-2023,22:47:01,19.13574806,72.82997972,Andheri
Burglary,23-12-2023,22:47:02,19.08181654,72.93789134,Ghatkopar
Burglary,15-05-2024,22:47:03,19.08074378,72.9187418,Ghatkopar
Theft,21-11-2024,22:47:04,19.17864229,72.93848652,Mulund
Theft,17-12-2023,22:47:09,19.00641425,72.83699487,Dadar
Fraud,28-08-2023,22:47:10,19.17931114,72.98885641,Thane
Drug Offense,24-01-2025,22:47:11,19.05645175,72.82283314,Bandra
Domestic Violence,12-10-2024,22:47:12,19.09022581,72.902682,Ghatkopar
Theft,15-04-2024,22:47:13,19.09607563,72.92413227,Ghatkopar
Domestic Violence,23-08-2024,22:47:13,19.12947302,72.83863376,Andheri
Drug Offense,15-06-2023,22:47:14,19.07204421,72.84780095,Bandra
Theft,23-08-2024,22:47:15,19.07541415,72.82371906,Bandra
Burglary,03-05-2024,22:47:16,19.22906837,72.84886394,Borivali
Murder,17-04-2023,22:47:17,19.18263305,72.96250076,Thane
Drug Offense,25-08-2024,22:47:18,19.13358476,72.98377092,Navi Mumbai
Fraud,01-01-2024,22:47:19,19.20364059,72.96314906,Thane
Drug Offense,09-04-2023,22:47:20,19.17953651,72.99118904,Thane
Burglary,23-11-2024,22:47:21,19.21913203,72.83704024,Borivali
Burglary,01-08-2024,22:47:22,19.13079247,72.95904943,Navi Mumbai
Assault,26-06-2024,22:47:22,19.2161524,72.96955476,Thane
Fraud,20-02-2025,22:47:28,19.08468449,72.93884658,Ghatkopar
Theft,23-10-2024,22:47:29,18.92398662,72.82067586,Colaba
Fraud,30-06-2024,22:47:35,19.10084304,72.92403325,Ghatkopar
Theft,04-10-2023,22:47:36,19.10575991,72.82259867,Andheri
Fraud,28-01-2024,22:47:37,19.12351461,72.85468368,Andheri
Fraud,21-12-2023,22:47:43,19.07087461,72.95348878,Navi Mumbai
Domestic Violence,19-11-2023,22:47:44,19.11903063,72.86431948,Andheri
Assault,30-12-2024,22:47:45,19.05846712,72.83161032,Bandra
Fraud,20-10-2023,22:47:46,19.17765742,72.97211165,Thane
Domestic Violence,28-10-2023,22:47:47,19.17215713,72.94687437,Mulund
Drug Offense,20-07-2023,22:47:48,19.09836108,72.91116259,Ghatkopar
Drug Offense,19-11-2023,22:47:49,19.0890201,72.90973673,Ghatkopar
Burglary,17-07-2023,22:47:51,19.11463326,72.86326906,Andheri
Fraud,25-11-2024,22:47:52,19.05843925,72.842486,Bandra
Fraud,29-08-2024,22:47:52,19.05430936,72.95610973,Navi Mumbai
Burglary,29-11-2023,22:47:53,19.15651779,72.96977928,Mulund
Theft,03-07-2024,22:47:54,19.06425247,72.8380881,Bandra
Theft,23-12-2023,22:47:55,19.07486566,72.95626295,Navi Mumbai
Theft,12-08-2023,22:47:56,19.05433281,72.84584241,Bandra
Fraud,09-05-2024,22:47:58,19.17759044,72.9678759,Mulund
Fraud,26-01-2024,22:47:59,19.06348941,72.84436055,Bandra
Fraud,16-11-2024,22:48:00,19.17167502,72.93927552,Mulund
Murder,29-06-2024,22:48:01,19.01095517,72.82217154,Dadar
Assault,06-08-2024,22:48:07,19.00756847,72.83056549,Dadar
Theft,09-05-2023,22:48:09,19.10949008,72.93929128,Ghatkopar
Fraud,22-11-2023,22:48:10,19.06504105,72.97688762,Navi Mumbai
Assault,26-02-2024,22:48:11,19.21652849,72.83035616,Borivali
Theft,17-11-2024,22:48:12,19.17410857,72.99425928,Thane
Fraud,08-04-2023,22:48:13,19.23722438,72.85049567,Borivali
Domestic Violence,29-10-2024,22:48:14,19.10137529,72.90854676,Ghatkopar
Assault,08-11-2023,22:48:14,19.09296777,72.91788192,Ghatkopar
Drug Offense,23-12-2024,22:48:16,19.00543773,72.83542531,Dadar
Theft,02-02-2024,22:48:17,19.01921413,72.83297926,Dadar
Drug Offense,14-07-2023,22:48:18,19.06472549,72.84228715,Bandra
Murder,01-01-2024,22:48:18,19.20576275,72.96585066,Thane
Drug Offense,04-11-2024,22:48:19,19.17533885,72.98623951,Thane
Domestic Violence,26-04-2023,22:48:25,19.06927856,72.82839944,Bandra
Burglary,01-01-2024,22:48:26,18.90200174,72.80248795,Colaba
Murder,24-03-2023,22:48:27,19.2107746,72.96902456,Thane
Murder,06-11-2023,22:48:27,19.02685283,72.83631517,Dadar
Fraud,07-09-2024,22:48:28,19.01125833,72.83848066,Dadar
Theft,24-08-2023,22:48:29,19.2231107,72.8375677,Borivali
Domestic Violence,02-08-2023,22:48:30,19.1821255,72.95599888,Thane
Burglary,11-05-2024,22:48:31,19.17373523,72.99169323,Thane
Assault,06-11-2023,22:48:31,19.05629022,72.82919358,Bandra
Domestic Violence,08-05-2023,22:48:32,19.07776754,72.83581945,Bandra
Theft,16-10-2024,22:48:33,19.05835208,72.83220989,Bandra
Fraud,28-11-2024,22:48:34,19.22775803,72.84335256,Borivali
Burglary,18-01-2025,22:48:35,19.19037029,72.95748101,Thane
Drug Offense,11-01-2024,22:48:35,19.18635268,72.99323917,Thane
Domestic Violence,07-06-2024,22:48:36,19.10482162,72.84915736,Andheri
Domestic Violence,06-06-2024,22:48:37,19.12787151,72.86257816,Andheri
Fraud,09-07-2024,22:48:38,19.13590875,72.85572782,Andheri
Drug Offense,24-02-2024,22:48:39,19.11288895,72.98136433,Navi Mumbai
Fraud,13-04-2023,22:48:40,19.22575511,72.8586051,Borivali
Domestic Violence,20-02-2024,22:48:41,19.05054416,72.82922158,Bandra
Fraud,30-08-2023,22:48:47,19.02492068,72.84602726,Dadar
Domestic Violence,07-06-2024,22:48:49,19.12353279,72.99140874,Navi Mumbai
Theft,31-05-2024,22:48:50,19.22335264,72.86125766,Borivali
Fraud,05-11-2023,22:48:51,19.05541935,72.83897334,Bandra
Domestic Violence,18-02-2024,22:48:52,19.10271812,72.9566863,Navi Mumbai
Drug Offense,27-12-2023,22:48:52,19.17822807,72.96025894,Mulund
Fraud,08-09-2024,22:48:53,19.13403177,72.98763646,Navi Mumbai
Assault,26-04-2024,22:48:54,18.91406172,72.82928837,Colaba
Burglary,15-02-2024,22:48:56,19.21386429,72.97578651,Thane
Assault,09-09-2023,22:48:56,19.20658674,72.83586488,Borivali
Drug Offense,03-06-2024,22:48:57,18.91299191,72.81325993,Colaba
Theft,27-11-2023,22:48:58,19.07005919,72.84012663,Bandra
Assault,11-08-2023,22:48:59,19.13883942,72.9538319,Navi Mumbai
Fraud,21-11-2024,22:49:00,19.19330882,72.95212872,Thane
Drug Offense,12-02-2024,22:49:00,19.01793871,72.98440861,Navi Mumbai
Drug Offense,10-08-2024,22:49:01,19.09235113,72.9947312,Navi Mumbai
Domestic Violence,24-12-2024,22:49:07,19.23940801,72.86121994,Borivali
Theft,14-11-2024,22:49:08,18.91247707,72.80415333,Colaba
Burglary,04-07-2023,22:49:09,19.16804995,72.93617704,Mulund
Assault,03-02-2024,22:49:10,19.23535114,72.85833026,Borivali
Domestic Violence,29-08-2023,22:49:10,18.91974158,72.8038198,Colaba
Theft,29-05-2023,22:49:11,19.17352995,72.99468425,Thane
Fraud,24-03-2023,22:49:12,19.04244775,72.99202259,Navi Mumbai
Domestic Violence,01-10-2024,22:49:12,19.05482275,72.83481174,Bandra
Domestic Violence,30-08-2023,22:49:13,19.02414852,72.84133883,Dadar
Domestic Violence,25-12-2023,22:49:14,19.15867837,72.93743729,Mulund
Murder,20-11-2023,22:49:19,19.11239942,72.91529094,Ghatkopar
Domestic Violence,13-07-2024,22:49:20,19.22441486,72.84263825,Borivali
Assault,20-08-2023,22:49:21,19.08465889,72.91753026,Ghatkopar
Theft,29-12-2024,22:49:22,19.12667643,72.85127173,Andheri
Burglary,09-07-2023,22:49:23,19.12275684,72.82609221,Andheri
Burglary,06-08-2024,22:49:24,19.08421296,72.98914075,Navi Mumbai
Fraud,26-05-2024,22:49:24,19.10295597,72.91379543,Ghatkopar
Theft,20-04-2024,22:49:25,19.20086793,72.83039146,Borivali
Murder,24-09-2023,22:49:27,19.11067652,72.92197669,Ghatkopar
Drug Offense,09-02-2025,22:49:28,19.21525997,72.86365265,Borivali
Burglary,15-11-2024,22:49:29,19.13562033,72.82780043,Andheri
Burglary,31-03-2023,22:49:32,19.10530237,72.91188551,Ghatkopar
Assault,08-07-2024,22:49:33,19.20237493,72.84789938,Borivali
Drug Offense,28-05-2024,22:49:35,19.02868969,72.83006199,Dadar
Domestic Violence,04-09-2023,22:49:36,19.01568631,72.84095926,Dadar
Theft,18-03-2025,22:49:37,19.10186993,72.84750135,Andheri
Domestic Violence,05-08-2024,22:49:38,19.02998488,72.82778618,Dadar
Burglary,23-09-2023,22:49:39,19.07382438,72.96552403,Navi Mumbai
Assault,10-05-2024,22:49:40,19.11978436,72.95969368,Navi Mumbai
Burglary,12-10-2024,22:49:41,19.12706265,72.8277786,Andheri
Assault,02-02-2024,22:49:41,19.17958513,72.99407787,Thane
Fraud,01-05-2024,22:49:42,19.21756584,72.98535742,Thane
Assault,10-10-2024,22:49:43,19.02277065,72.84425972,Dadar
Domestic Violence,25-01-2024,22:49:45,19.1729487,72.93210436,Mulund
Murder,19-06-2023,22:49:45,19.17843771,72.95372268,Mulund
